gene,detection,pct_change
NRIR,0.0468,-6.44
RSAD2,0.0558,-21.87
ID2-AS1,0.0695,-25.51
AC080162.1,0.0763,0.62
GRHL1,0.0505,10.92
ODC1,0.0475,-10.01
MIR3681HG,0.0498,-3.9
AC064875.1,0.0536,10.8
LINC00276,0.0646,2.86
RDH14,0.0704,-8.07
SF3B6,0.0741,-3.56
FAM228A,0.0763,9.5
AC009228.1,0.0672,15.6
DRC1,0.0566,0.38
SLC35F6,0.072,9.88
TMEM214,0.053,1.29
EMILIN1,0.0729,7.3
ABHD1,0.0687,-5.15
SLC5A6,0.0512,5.54
ATRAID,0.0657,-6.79
UCN,0.0574,0.98
AC074117.1,0.0652,10.24
SNX17,0.0675,3.42
FNDC4,0.0554,-11.72
GPN1,0.0745,-4.6
EHD3,0.0607,-5.29
AL133243.2,0.0691,9.83
AL133243.3,0.0563,2.28
FAM98A,0.0728,0.38
AC017050.1,0.0629,7.5
AC007390.2,0.0512,11.17
RMDN2-AS1,0.047,-41.85
MORN2,0.0534,-11.84
AC092650.1,0.0653,-13.29
AC007682.1,0.0526,-40.26
CHAC2,0.0671,-22.15
GPR75,0.0519,5.64
VRK2,0.0504,-15.38
BCL11A,0.0571,-6.43
AC018462.1,0.0741,-34.3
B3GNT2,0.0489,8.43
AC092567.1,0.0637,-25.67
AC009501.3,0.0719,-28.29
PELI1,0.0577,-0.13
AC007389.3,0.0459,-31.73
PNO1,0.0539,-11.73
FAM136A,0.0661,-11.81
PAIP2B,0.0752,12.15
AC007878.1,0.0468,6.52
PRADC1,0.0594,-7.36
FBXO41,0.0462,-3.86
AC073263.1,0.0542,14.39
MTHFD2,0.048,-2.34
RTKN,0.0722,-3.15
AC005041.5,0.0547,-11.59
SEMA4F,0.0717,-1.88
HK2,0.0553,-35.23
AC022210.2,0.0664,-28.38
CAPG,0.0504,1.03
VAMP8,0.0665,-0.13
VAMP5,0.049,-14.83
TMEM150A,0.0701,-10.85
AC015971.1,0.0579,-38.87
PLGLB1,0.063,-7.75
PLGLB2,0.0551,-3.65
ZNF2,0.0505,3.01
FER1L5,0.0663,2.9
ANKRD39,0.0759,-4.34
LIPT1,0.0484,-8.56
LYG1,0.0642,-0.85
CREG2,0.0705,1.74
TMEM182,0.0479,1.99
LINC01965,0.0528,-5.09
LINC01159,0.059,-5.68
AC010884.1,0.0703,-14.96
AC009505.1,0.0465,-12.45
GCC2-AS1,0.0739,5.84
MTLN,0.0666,-31.23
MIR4435-2HG,0.0596,-8.25
AC093675.1,0.0535,-16.53
POLR1B,0.0584,-1.48
CHCHD5,0.0486,-8.67
STEAP3,0.053,3.81
AC012363.1,0.0727,1
TMEM185B,0.0567,13.13
AC012447.1,0.05,26.61
NIFK,0.0594,3.12
AC011246.1,0.0672,-0.41
MAP3K2-DT,0.046,-20.6
POLR2D,0.0717,6.7
C2orf27A,0.0578,-6.55
NCKAP5-AS2,0.0615,-29.01
CCNT2-AS1,0.0621,-1.87
AC105402.3,0.0643,220.01
RBM43,0.0524,1.19
NMI,0.0738,-3.67
LINC01876,0.0546,-38.67
AC019186.1,0.0618,10.28
RBMS1,0.0671,4.32
AC009299.3,0.0708,-12.54
IFIH1,0.0674,3.15
AC016766.1,0.049,-32.36
COBLL1,0.0626,-19.53
GALNT3,0.0472,-35.37
B3GALT1,0.0651,6.9
GAD1,0.0764,-16.33
AC010894.3,0.0572,-28.22
AC019080.1,0.059,-0.88
PDE11A,0.0483,7.57
NUP35,0.0713,-6.01
AC021851.1,0.0749,-0.86
AC021851.2,0.0568,-8.78
AC009315.1,0.0471,-12.56
AC017071.1,0.0574,1.32
AC007319.1,0.0659,2.7
CALCRL,0.0744,-37.77
ASNSD1,0.061,-4.34
NEMP2,0.0494,-1.2
AC114760.2,0.0617,-19.79
CFLAR-AS1,0.047,-25.34
FZD7,0.0501,2.61
EEF1B2,0.0647,-21.06
MDH1B,0.0554,-20.77
MYOSLID,0.0644,-29.58
AC009226.1,0.0504,-8.81
AC007038.2,0.0486,-9.85
AC108066.2,0.0526,9.31
AC068051.1,0.0727,-6.48
VWC2L,0.0732,10.98
ABCA12,0.0488,2.26
AC098820.1,0.0732,-6.15
RNF25,0.0535,-11.42
NHEJ1,0.0651,0.63
CNPPD1,0.0619,0.54
TUBA4A,0.0701,-13.95
GMPPA,0.0628,6.59
INHA,0.0502,-2.77
AC067956.1,0.0594,13.7
SCG2,0.0525,-30.19
MRPL44,0.0489,-2.65
SLC19A3,0.0592,7.6
SLC16A14,0.0509,-18.4
AC009950.1,0.0578,-31.08
SP140,0.0734,-17.45
AC009407.1,0.0579,5.1
AC073476.3,0.0465,25.92
AC019130.1,0.0565,-36.19
INPP5D,0.0646,1.91
LINC01937,0.0746,12.88
HDAC4-AS1,0.047,-23.24
CAPN10-DT,0.0569,-0.68
GPR35,0.0625,-3.18
PASK,0.0516,-8.06
ANO7,0.0531,-29.67
LINC01238,0.0466,9.1
CHL1-AS1,0.0575,-36
AC018832.1,0.0529,-35.42
AC023481.1,0.0737,-7.35
CAV3,0.0491,-18.84
OXTR,0.0666,43.2
LHFPL4,0.0685,-5.95
AC022382.2,0.0531,0.39
CPNE9,0.0596,-24.44
BRPF1,0.0461,16.4
JAGN1,0.0537,-4.2
PRRT3,0.0662,-0.62
AC083855.2,0.0608,-20.95
MKRN2OS,0.0642,-28.74
SH3BP5-AS1,0.0764,-4.92
SH3BP5,0.0585,-7.73
EAF1,0.0652,-4.64
DPH3,0.0529,-7.93
AC090644.1,0.0735,1.31
THRB-AS1,0.0482,11.58
AC092422.1,0.0759,-4.64
NEK10,0.0733,-8.36
OSBPL10,0.0559,-3.28
VILL,0.0496,2.67
ZNF620,0.0532,-11.18
HIGD1A,0.0685,-4.25
ZNF502,0.0504,-2.39
KIF15,0.0608,10.46
MYL3,0.0601,-23.82
NBEAL2,0.0578,-10.86
AC099778.1,0.0712,-12.45
ATRIP,0.0519,-0.73
COL7A1,0.0656,-16.65
SLC26A6,0.0467,-8
IMPDH2,0.0493,-10.25
USP19,0.0704,-3.01
NICN1,0.0592,5.06
APEH,0.0509,4.28
UBA7,0.0579,-15.1
CAMKV,0.0562,5.03
MON1A,0.0509,-5.12
IFRD2,0.0544,5.61
RASSF1,0.0629,-1.49
NPRL2,0.055,1.3
CYB561D2,0.0656,-5.83
TMEM115,0.0469,10.56
CACNA2D2,0.0526,-1.72
C3orf18,0.0737,4.07
MANF,0.0567,2.66
PARP3,0.0474,10.37
ABHD14B,0.0613,8.39
ABHD14A,0.0645,-13.16
ALAS1,0.0464,-4.59
BAP1,0.0678,-0.7
ACTR8,0.0744,3.2
HESX1,0.0546,-8.36
PDHB,0.0696,-4.51
AC126121.3,0.0482,-4.83
FEZF2,0.0625,-2.46
FRMD4B,0.0603,1.01
LINC00877,0.0509,20.93
CADM2-AS1,0.0468,-31.37
EPHA3,0.0577,-4.69
CPOX,0.063,6.39
ST3GAL6,0.0526,-11.99
AC129803.1,0.0473,-6.66
LNP1,0.0686,8.04
IMPG2,0.0691,-1.08
TRMT10C,0.0571,-16.3
AC079382.2,0.0505,4.31
TAGLN3,0.0572,-11.37
CD200,0.0731,-12.88
CCDC80,0.0532,-45.99
GTPBP8,0.0732,-1.3
ZBTB20-AS2,0.0634,-41.8
AC068633.1,0.0481,20.42
ARHGAP31-AS1,0.0599,-23.07
GTF2E1,0.0736,9.43
SEMA5B,0.0716,-9.44
PDIA5,0.072,-15.51
SLC12A8,0.074,-1.41
AC016924.1,0.0501,0.33
CFAP100,0.0693,-14.91
KIAA1257,0.0487,-9.98
ALG1L2,0.0512,-20.13
COL6A6,0.0519,-27.18
AC055733.2,0.0586,-40.11
NUDT16,0.0565,-17.42
AMOTL2,0.0657,8.21
DBR1,0.069,9.29
RBP2,0.0543,-35.78
