gene,detection,pct_change
ZNF34,0.0728,-0.06
ZNF517,0.0538,-11.36
COMMD5,0.054,-5.89
AF235103.3,0.0758,-5.84
C8orf33,0.065,-16.55
AL359095.1,0.0555,5.4
DMAC1,0.0681,-0.34
AL137017.1,0.0644,-21.19
ADAMTSL1,0.0731,-10.24
RRAGA,0.0643,-10.76
CDKN2B-AS1,0.054,-17.15
ELAVL2,0.0676,-3.22
AL353753.1,0.0493,-35.22
SMIM27,0.0553,-14.81
UBE2R2-AS1,0.0486,-14.79
DNAI1,0.0516,0.8
CNTFR-AS1,0.0509,-38.88
DCTN3,0.0619,-17.18
SIGMAR1,0.0501,6.14
DNAJB5,0.0504,3.73
PIGO,0.0485,-12.55
STOML2,0.0527,-9.69
TESK1,0.0691,6.25
CCDC107,0.0593,-9.4
SPAG8,0.0527,-22.93
BX664615.2,0.0513,-7.22
BX664727.3,0.0541,-18.27
LERFS,0.0682,-27.36
CBWD3,0.0727,-12.3
AL161457.2,0.0655,3.15
GDA,0.0553,-9.1
CARNMT1-AS1,0.0716,-10.03
GCNT1,0.0676,-21.53
C9orf64,0.0698,0.39
GAS1RR,0.0644,3.27
DAPK1-IT1,0.0541,-16.43
NFIL3,0.0543,-15.36
ECM2,0.0746,-29.29
C9orf129,0.0468,-0.28
AL160269.1,0.069,-12.82
PRXL2C,0.0519,10.98
PTCSC2,0.0475,13.46
TRMO,0.0623,0.21
NAMA,0.0495,0.05
AL162394.1,0.0558,-38.73
MRPL50,0.0605,0.97
NIPSNAP3A,0.047,-17.15
NIPSNAP3B,0.0488,-4.41
AL807761.4,0.0628,-32.04
EPB41L4B,0.0753,2.18
PRPF4,0.0752,2.45
C9orf43,0.0485,-2.71
AL137024.1,0.0585,-21.18
ASTN2-AS1,0.0695,-32.7
TRIM32,0.0658,2.64
AL354754.1,0.0684,-31.8
PDCL,0.0721,7.35
ZBTB6,0.0473,1.98
ARPC5L,0.0681,-7.25
ZNF79,0.0658,10.88
PTRH1,0.0625,1.32
ST6GALNAC4,0.0534,4.01
DPM2,0.0598,-5.91
SLC25A25-AS1,0.0549,-5.22
TRUB2,0.0615,-0.82
AL356481.1,0.057,-12.07
WDR34,0.0707,5.41
AL161785.1,0.046,-8.89
LINC01503,0.0758,-20.47
TOR1A,0.0574,-10.17
EXOSC2,0.0634,-3.38
AL157938.3,0.0543,-34.47
UCK1,0.0633,1.28
SPACA9,0.0549,-13.42
SURF6,0.0721,-2.79
CACFD1,0.0696,11.94
ADAMTSL2,0.0629,5.98
BRD3OS,0.0465,12.47
COL5A1,0.0718,2.91
PPP1R26,0.0731,4.44
KCNT1,0.073,-1.35
AJM1,0.0646,20.51
MAMDC4,0.0643,-1.4
ANAPC2,0.0722,5.39
SSNA1,0.0622,-6.53
RNF208,0.0703,19.29
NRARP,0.0508,-36.7
ARRDC1-AS1,0.0707,-6.91
PITRM1-AS1,0.0661,-8.55
AL365356.1,0.0756,-22.91
CDNF,0.0531,-0.09
SUV39H2,0.0699,-4.65
HACD1,0.0466,9.95
THNSL1,0.0483,-4.61
MASTL,0.0553,8.59
LINC02680,0.0628,9.88
LINC02664,0.0593,-7.99
AL391839.1,0.0579,-27.52
LINC00839,0.05,-11
ZNF22,0.0711,-10.12
PTPN20,0.0721,-6.62
ARHGAP22,0.0673,-11.93
AL138760.1,0.0747,-35.91
SGMS1-AS1,0.0599,-5.01
PRKG1-AS1,0.0499,-17.3
RHOBTB1,0.0724,-7.54
CABCOCO1,0.0592,-14.18
NRBF2,0.0576,-16.17
AC022387.2,0.0462,15.87
AL513534.2,0.0462,3.14
AL359844.1,0.0464,14.16
LINC02636,0.0731,-5.68
PALD1,0.0646,-14.54
NUDT13,0.0529,-22.7
MSS51,0.0739,2.87
AC022400.4,0.0524,5.17
CHCHD1,0.0491,-14.67
AL135925.1,0.0566,-12.29
AL096706.1,0.0666,-1.75
AL731569.1,0.06,-7.14
LINC00863,0.0762,-0.01
IFIT1,0.0483,11.76
SLC35G1,0.0654,6.67
HELLS,0.0516,70.85
AL157834.1,0.0651,-8.08
ACSM6,0.0475,-30.51
CCNJ,0.0537,-13.59
ENTPD7,0.0655,-14.79
DNMBP-AS1,0.0591,-17.84
PDZD7,0.0467,5.17
DPCD,0.074,-10.44
KCNIP2-AS1,0.0682,-16.92
NOLC1,0.0662,-2.28
NFKB2,0.0539,8.23
FBXL15,0.0617,-12.18
ITPRIP,0.0732,28.69
DCLRE1A,0.0523,10.83
CHST15,0.0694,-21.45
EDRF1-DT,0.0683,-6.85
AL359094.1,0.0532,-36.19
DPYSL4,0.0626,-3.25
PWWP2B,0.0476,10.27
ZNF511,0.0481,1.2
CYP2E1,0.0536,-4.08
AL731769.2,0.0703,11.94
LINC01001,0.048,-13.94
RIC8A,0.0733,7.44
IFITM2,0.0743,-17.54
HRAS,0.0531,-12.46
MIR210HG,0.0577,-26.61
IRF7,0.0535,-12.39
AC131934.1,0.0656,-30.57
TMEM80,0.0659,0.79
SLC25A22,0.053,-8.8
POLR2L,0.0571,-29.58
TSSC4,0.0717,-17.89
ARFIP2,0.0655,1.49
TAF10,0.0713,-10.61
AC026894.1,0.0596,-37.73
AC132192.2,0.0755,-12.66
AC011092.3,0.0501,-33.13
ADM,0.0598,-43.37
MTRNR2L8,0.0735,206.77
AC104383.2,0.0627,-8.48
NCR3LG1,0.0531,-8.36
PTPN5,0.0516,-9.14
HTATIP2,0.0749,3.55
ANO3,0.0723,6.03
CCDC34,0.064,12.17
LINC02742,0.0546,42.45
LINC00294,0.0477,13.86
AL133330.2,0.0481,-37.88
FJX1,0.074,0.51
LINC02740,0.0565,-10.27
AC087521.2,0.0597,-30.23
TSPAN18,0.0554,-9.54
PEX16,0.0632,-2.47
AC127035.1,0.0632,-27.37
AC090559.1,0.0508,-22.25
PSMC3,0.0558,-7.8
PTPMT1,0.0462,2.45
C1QTNF4,0.062,-4.81
SLC43A3,0.0571,20.8
UBE2L6,0.0697,-5.49
AP000662.1,0.062,-5.04
MED19,0.0615,-14.74
AP000442.1,0.0581,-24.06
STX3,0.0722,-1.55
MRPL16,0.0757,-9.74
CYB561A3,0.0725,-2.03
PPP1R32,0.0589,-12
AP003108.1,0.0496,-17
SYT7,0.0584,10.16
INCENP,0.0497,14.01
UBXN1,0.0594,-11.47
POLR2G,0.047,-4.47
WDR74,0.051,4.86
SLC22A10,0.0724,14.27
PLAAT4,0.052,-15.44
C11orf95,0.0654,-10.54
AP000721.2,0.0581,-13.27
DNAJC4,0.0675,-2.21
PLCB3,0.0733,20.96
BAD,0.0706,2.76
MEN1,0.0506,3.53
EHD1,0.0742,7.66
SNX15,0.0683,5.82
ZFPL1,0.0603,-6.04
AP003068.2,0.0464,10
POLA2,0.0728,-5.4
FRMD8,0.0688,6.08
FIBP,0.059,3.45
CCDC85B,0.0625,-21.07
C11orf68,0.0495,12.8
BANF1,0.0633,-19.36
YIF1A,0.0593,-13.99
AP001107.9,0.0667,-9.82
MRPL11,0.0734,9.63
DPP3,0.0731,-4.37
AP002748.6,0.0583,-23.76
SPTBN2,0.066,-0.69
SSH3,0.064,-6.48
POLD4,0.0693,-14.6
PPP1CA,0.0673,4.14
CORO1B,0.0516,-5.95
CDK2AP2,0.0515,1.51
MRPL21,0.0651,-11.75
LRTOMT,0.0684,-7.86
PDE2A,0.0755,3.82
STARD10,0.0504,10.14
RELT,0.0621,-8.87
P4HA3,0.0596,-34.17
AP001372.2,0.0736,-3.36
CAPN5,0.0755,-17.41
AQP11,0.0604,-19.61
AP003464.1,0.0634,-31.67
AP001767.3,0.062,-34.24
PCF11-AS1,0.0656,2.86
AP002370.2,0.0639,-23.19
CCDC81,0.0709,-15.62
NAALAD2,0.0532,1.17
AP000943.2,0.0527,-23.33
SRSF8,0.0633,-7.89
JRKL,0.0762,-4.76
CFAP300,0.0569,-3.96
AP000766.1,0.0599,-0.23
AP003049.2,0.063,-28.13
AP001981.2,0.0519,3.71
ARHGAP20,0.0464,-9.97
COLCA1,0.0605,-16.64
PIH1D2,0.0563,3.28
TIMM8B,0.0665,-19.61
AP002518.2,0.0534,-25.11
RBM7,0.0497,1.19
TAGLN,0.0573,-15.24
BACE1-AS,0.0633,8.41
TRAPPC4,0.0721,2.87
SLC37A4,0.0665,-13.14
HMBS,0.0502,1.4
H2AFX,0.0765,-1.08
DPAGT1,0.0524,-8.74
USP2-AS1,0.0562,12.05
THY1,0.0685,-7.25
TRIM29,0.0747,4.95
TECTA,0.0688,-3.08
CLMP,0.0526,-21.45
SCN3B,0.0634,-11.31
ZNF202,0.0728,7.69
RPUSD4,0.0647,-9.12
TIRAP,0.0693,5.54
DCPS,0.0646,-9.24
ETS1,0.0505,1.84
ZBTB44-DT,0.0654,-12.73
AP003486.1,0.0529,1.07
AP000844.2,0.0697,-31.05
THYN1,0.0657,-7.51
AC007406.5,0.0666,-10.28
WNT5B,0.0614,-18.75
P3H3,0.0538,-0.76
GNB3,0.048,19.95
C12orf57,0.0756,-31.35
SLC2A3,0.065,-35.48
CLEC4A,0.0493,1.2
A2M-AS1,0.0525,-0.4
PZP,0.0558,-43.25
AC092821.3,0.0567,-2.73
MAGOHB,0.0691,-3.49
TAS2R14,0.0488,-8.93
SMIM10L1,0.0566,-16.14
LOH12CR2,0.0473,-15.16
AC007619.1,0.0554,18.17
PLBD1-AS1,0.0513,-16.97
AC092828.1,0.0585,-8.67
AC024901.1,0.0741,-8.32
GYS2,0.0521,-5.31
AC084816.1,0.065,14.22
AC022509.2,0.0704,-14.7
AC022364.1,0.0482,8.03
OVCH1,0.068,12.56
TSPAN11,0.0519,-7.13
ETFBKMT,0.0617,-7.55
C12orf40,0.0499,22.31
AC090630.1,0.0508,-21.94
TWF1,0.0678,-0.37
DBX2,0.0757,-16.1
AC079950.1,0.0678,-30.72
RND1,0.0676,-13.92
CCDC65,0.0718,-32.39
KCNH3,0.0708,1.94
BCDIN3D,0.0634,-10.09
COX14,0.0464,-33.17
HIGD1C,0.0488,-8.69
NR4A1,0.0637,-13.11
SPRYD3,0.0505,2.61
NPFF,0.0575,-1.07
PPP1R1A,0.0517,-4.47
TESPA1,0.0507,-7.27
AC009779.2,0.0535,-27.35
PYM1,0.0581,-6.03
ZC3H10,0.0742,1.04
AC034102.5,0.0703,-2.59
NABP2,0.0703,-1.05
COQ10A,0.0679,-18.65
GLI1,0.0584,4.83
ARHGEF25,0.073,9.32
B4GALNT1,0.0529,-4.73
CDK4,0.0586,-4.28
MARCH9,0.073,0.68
AC068305.2,0.0559,10.17
C12orf66,0.0759,7.45
AC026124.1,0.0485,-12.59
DYRK2,0.0621,3.61
YEATS4,0.0642,-12.54
KCNMB4,0.0568,-3.55
BBS10,0.0637,9.93
AC027288.3,0.0509,-33.35
AC078955.1,0.0572,-40.3
AC024941.2,0.0514,-10.35
GALNT4,0.0748,-2.39
AC009522.1,0.0554,12.81
LINC02822,0.0466,-1.96
LINC01619,0.0511,5.88
AC069437.1,0.0494,-25.83
DEPDC4,0.0743,-10.93
PAH,0.0679,7.3
NT5DC3,0.0701,-19.98
GLT8D2,0.0532,-3.63
AC079174.2,0.0541,-13.56
WSCD2,0.0461,-11.02
FICD,0.0552,7.86
SVOP,0.0498,0.56
AC007637.1,0.0722,-5.67
KCTD10,0.0662,-6.83
MVK,0.069,-3.92
GPN3,0.0484,-0.6
SH2B3,0.0467,-15.11
MAPKAPK5-AS1,0.0606,-14.75
RPH3A,0.0626,-11.47
DDX54,0.0584,0.48
IQCD,0.0613,-4.23
TESC,0.0591,-21.2
PRKAB1,0.0754,2.12
NRAV,0.0657,-7.09
C12orf43,0.0708,-5.23
LRRC43,0.0531,-6.98
SBNO1-AS1,0.0592,-17.64
DNAH10,0.0565,0.93
AC007368.1,0.0747,7.93
MMP17,0.0508,12.86
TPTE2,0.0666,17.24
AL161772.1,0.0624,-8.55
LINC00621,0.0654,11.83
WASF3-AS1,0.0741,-33.47
TEX26,0.0546,-9.17
AL138999.2,0.0469,-26.42
RFC3,0.0702,-12.47
CCDC169,0.0585,-11.37
SLC25A15,0.0497,-6.24
KBTBD6,0.0581,7.45
KBTBD7,0.0576,-0.46
SMIM2-AS1,0.0567,-12.72
TSC22D1-AS1,0.0509,-13.51
SLC25A30,0.0726,3.3
LPAR6,0.0628,-35.93
RCBTB2,0.0712,-21.48
NEK5,0.0657,-28.73
PCDH9-AS1,0.0462,-38.06
PCDH9-AS3,0.0606,-29.82
AL512452.1,0.0595,5.1
MZT1,0.0492,-1.27
AL137781.1,0.0685,19.98
DCT,0.0744,-10.41
SOX21,0.0739,1.57
AL161430.1,0.0556,-32.85
AL445223.1,0.0467,-5.13
AL355338.1,0.0561,-18.78
ING1,0.0658,-0.47
ANKRD10-IT1,0.0741,8.72
ADPRHL1,0.0669,12.43
TMEM255B,0.0573,-20.36
ABHD4,0.0611,4.4
PRMT5,0.0606,-6.74
CDH24,0.0484,-0.73
SLC7A8,0.0566,-12.25
RNF212B,0.0462,-41.49
JPH4,0.0709,2.4
AL136419.3,0.0518,-17.06
CARMIL3,0.0624,-17.68
MDP1,0.0483,-11.8
GMPR2,0.0591,-9.59
AL132800.1,0.054,1.62
LINC02306,0.0675,0.91
G2E3-AS1,0.0597,-35.13
AL139353.2,0.0594,-31.26
CFL2,0.0658,-1.62
SLC25A21,0.0571,-19.12
GEMIN2,0.0731,-3.62
C14orf28,0.0601,3.99
DNAAF2,0.0624,8.79
LINC01588,0.0741,20.46
AL358334.4,0.0591,-39.93
FRMD6-AS2,0.0487,-30.64
FRMD6-AS1,0.0493,-18.91
WDHD1,0.0569,-15.03
AL139021.1,0.0694,-24.83
LRRC9,0.0557,-34.92
TRMT5,0.0545,-3.93
HIF1A-AS1,0.0496,6.51
KCNH5,0.071,4.92
ESR2,0.0674,-6.42
AL139022.1,0.0718,-11.68
PIGH,0.0682,0.3
AL121820.2,0.0575,-22.62
AL359317.2,0.072,-32.43
TTC9,0.0499,8.48
DCAF4,0.0507,-12.3
AC005225.3,0.0755,-1.01
ACOT2,0.0689,-25.01
ACOT6,0.0498,-17.79
AC005520.2,0.074,-1.54
FAM161B,0.0637,-3.47
EIF2B2,0.07,-7.84
VASH1-AS1,0.0674,5.19
GSTZ1,0.074,-5.79
AC008056.1,0.0659,-2.95
CHGA,0.0575,-8.49
MOAP1,0.0624,-13.97
FAM181A-AS1,0.0466,-11.01
FAM181A,0.0642,-24.66
GLRX5,0.0571,-7.04
AL133523.1,0.0485,4.34
LINC02320,0.051,-5.3
XRCC3,0.0639,-11.3
CEP170B,0.0753,8.32
AHNAK2,0.0684,23.18
CLBA1,0.0579,-6.86
AC138649.1,0.0497,-6.88
PWRN1,0.0712,0.91
GOLGA8M,0.0685,-7.58
NSMCE3,0.0529,-5.28
AC022613.3,0.0728,11.42
AC091057.2,0.0519,0.44
CHRNA7,0.0624,1.97
AC123768.3,0.0601,-2.27
AC010809.2,0.0516,-26.15
CHRM5,0.0665,-18.44
PGBD4,0.0537,5.85
EMC4,0.0756,-5.55
AC021351.1,0.0539,-25.15
CCDC9B,0.0558,10.16
DISP2,0.0477,10.36
ITPKA,0.0544,-1.71
EHD4,0.0698,18.08
HYPK,0.0566,2.95
AC025043.1,0.0762,-31
PATL2,0.0578,-6.87
SORD,0.0659,-3.12
DUOX1,0.0731,-26.48
AC051619.6,0.0598,1.05
SHF,0.0644,-4.11
AC025580.3,0.0517,-15.79
AC023355.1,0.0533,-2.03
MIR4713HG,0.0683,-12.01
TNFAIP8L3,0.0701,2.78
AC020892.2,0.0462,-35.03
RSL24D1,0.0706,3.05
C15orf65,0.0654,-9.27
ANXA2,0.053,-12.48
AC073167.1,0.0557,-32.75
DAPK2,0.0668,4.7
SLC24A1,0.0551,-11.15
AC011939.2,0.0469,1.13
C15orf61,0.05,-4.09
GLCE,0.0742,-7.21
LARP6,0.0637,-0.96
THSD4,0.0693,-11.6
AC022872.1,0.0758,-37.85
NPTN-IT1,0.0531,17.9
UBL7,0.0468,-5.94
MPI,0.0711,-3.72
IMP3,0.0673,-5.86
NRG4,0.0462,-23.73
AC027243.3,0.0701,-36.03
LINGO1,0.0649,14.41
RASGRF1,0.0644,-4.64
ANKRD34C-AS1,0.0473,14.03
AC027808.2,0.062,2.77
CFAP161,0.0574,15.64
SNHG21,0.0508,-10.02
AC103876.1,0.0737,-15.86
GOLGA6L4,0.0735,-3.41
ZSCAN2,0.0493,5.52
AC087286.2,0.0542,-24.89
MRPL46,0.0509,-8.83
FANCI,0.0693,6.49
WDR93,0.0636,-24.66
GDPGP1,0.058,-3.27
FURIN,0.0576,7.08
HDDC3,0.0662,-15.46
RCCD1,0.0615,-4.62
PRC1-AS1,0.072,2.71
LINC01579,0.0728,-29.37
LINC02207,0.0469,18.33
NR2F2,0.0594,-0.39
LINC02251,0.0705,-34.9
AC036108.1,0.0587,-2.68
LRRK1,0.0597,-7
RHBDF1,0.0758,8.44
PDIA2,0.0488,7
MRPL28,0.0488,1.69
TMEM8A,0.0703,-11.36
WDR90,0.0616,-15.17
AL023882.1,0.0559,-21.2
SOX8,0.0599,8.41
CCDC154,0.0587,-13.18
JPT2,0.0615,2.41
MRPS34,0.0528,-17.07
EME2,0.0571,-7.85
NUBP2,0.0624,-3.77
FAHD1,0.0601,-19.85
ZNF598,0.0476,-4.11
RAB26,0.0663,-5.03
MLST8,0.0736,5.11
CCNF,0.0689,-6.06
AMDHD2,0.0678,-3.38
KCTD5,0.0576,3.97
PAQR4,0.0555,-9.4
ZNF205,0.0499,13.53
ZNF200,0.0566,14.43
TFAP4,0.0466,4.16
GLIS2,0.0671,-0.01
C16orf96,0.0537,1.32
NAGPA,0.0703,-9.43
AC074051.5,0.06,5.04
AC012178.1,0.0528,-28.13
DEXI,0.0716,-0.45
NPIPB2,0.0685,-14.68
AC130650.2,0.0479,-4.33
NPIPA5,0.0641,1.17
ACSM5,0.0601,-1.99
DCUN1D3,0.0506,11.88
AC005632.3,0.0551,5.65
AC092338.3,0.0659,-24.18
AC092338.2,0.0481,-30.49
PLK1,0.0459,-6.44
SLC5A11,0.0684,7.01
ZKSCAN2,0.0464,-5.23
HS3ST4,0.0757,17.93
SBK1,0.0561,1.66
AC133550.3,0.0508,-14.04
LAT,0.0557,-9.26
NPIPB11,0.0543,12.54
KIF22,0.0711,-7.56
AC009133.1,0.0642,-20.62
SEZ6L2,0.0673,-9.77
TBX6,0.0708,31.93
AC012645.1,0.0536,21.87
SULT1A3,0.0495,8.9
NPIPB13,0.0474,9.9
MYLPF,0.0565,22.19
SEPTIN1,0.0632,-12.87
ZNF768,0.0617,5.75
AC093249.2,0.0724,21.74
TMEM265,0.0645,11.32
CTF1,0.06,14.69
ORAI3,0.0621,6.58
ZNF668,0.0461,7.2
VKORC1,0.0491,-2.07
ARMC5,0.0526,6.28
NETO2,0.0544,4.45
AC007611.1,0.072,-2.19
AC007344.1,0.0597,-25.01
AC106779.1,0.054,-4.67
CX3CL1,0.0584,-9.41
SETD6,0.0745,-9.85
AC009118.3,0.0468,-0.19
BEAN1,0.0567,-23.1
CMTM1,0.0526,-16.33
AC018557.1,0.0745,-6.52
TRADD,0.0662,-9.24
FBXL8,0.0543,-8.68
SLC9A5,0.058,-2.98
ENKD1,0.0558,2.34
TSNAXIP1,0.054,-10.7
NUTF2,0.0755,12.29
PLA2G15,0.0585,0.45
CDH3,0.0472,10.81
NOB1,0.0468,4.56
ATXN1L,0.0538,1.73
PKD1L3,0.047,7.41
DHODH,0.0722,-21.43
NPIPB15,0.0727,1.66
LDHD,0.0617,0.9
DNAAF1,0.0518,3.48
WFDC1,0.0675,3.73
ZNF469,0.0617,-3.89
SNAI3,0.0477,-10.91
RNF166,0.0704,-4.51
SPATA2L,0.0549,12.52
DBNDD1,0.0466,17.08
FAM157C,0.048,38.1
LINC02193,0.0577,8.8
AC015853.3,0.0518,-29.7
TIMM22,0.0537,-3.48
MIR22HG,0.0701,-11.6
AC027796.1,0.0573,5.24
MYBBP1A,0.073,-1.94
ARRB2,0.0762,-1.74
MED11,0.0647,-6.12
PSMB6,0.0463,-15.44
AC233723.1,0.0497,-19.53
PFN1,0.0665,-1.03
ZFP3,0.0742,9.34
C1QBP,0.0741,-16.61
PITPNM3,0.0488,-10.06
AC040977.1,0.0566,-11.04
MIR497HG,0.0533,-7.14
ELP5,0.0736,-2.41
EIF5A,0.0535,5.87
CHRNB1,0.059,-9.35
TNFSF12,0.0758,13.8
TRAPPC1,0.0469,-18.57
TMEM107,0.0555,-17.07
SLC25A35,0.0469,-14.48
ADPRM,0.0681,-5.55
PIRT,0.0688,-35.01
AC005410.2,0.0742,-8.18
HS3ST3B1,0.0665,-12.13
AC005838.2,0.0528,22.97
ZNF624,0.0734,17.93
PLD6,0.0511,-0.83
AC020558.1,0.0523,-0.06
LLGL1,0.0726,-12.66
MIEF2,0.0553,-3.18
SMCR8,0.0618,6.64
RNF112,0.0732,0.99
CCDC144NL,0.0604,9.32
TMEM11,0.0591,-8.32
TMEM199,0.0711,-0.05
SLC46A1,0.0543,4.23
SPAG5-AS1,0.0566,-1.02
PROCA1,0.0498,0.69
NEK8,0.0637,-15.96
ERAL1,0.0664,-0.34
SEZ6,0.0474,-8.79
TIAF1,0.051,-9.34
AC024619.3,0.0514,-42.24
AC068025.1,0.0613,-13.59
ANKRD13B,0.0693,27.13
CORO6,0.0748,1.82
AC127024.2,0.0605,5.73
AC079915.1,0.0535,9.54
AC004253.1,0.0695,-36.94
AC005899.5,0.0522,9.34
AC005899.8,0.0473,-32.21
CDK5R1,0.0482,12.89
TMEM98,0.046,-21.2
CCL2,0.0503,17.98
AC015849.3,0.0578,-33.94
AC243829.1,0.0645,16.43
DHRS11,0.0473,0.46
PSMB3,0.0623,-3.07
RARA,0.0487,0.81
KRT10,0.0737,-29.04
TMEM99,0.0513,-11.88
NKIRAS2,0.052,2.66
GHDC,0.0532,17.49
STAT5A,0.0584,7.19
AC067852.3,0.0726,-1.46
HSD17B1,0.0659,-6.78
AC100793.2,0.051,3.75
ETV4,0.0636,-4.89
TMEM101,0.0565,-4.45
G6PC3,0.0758,19.22
ATXN7L3,0.0763,-8.49
AC003102.1,0.0743,6.78
FAM171A2,0.0557,2.21
CCDC43,0.0649,-1.95
HEXIM1,0.0706,-12.3
LRRC37A,0.0502,3.39
FAM215B,0.0712,3.48
AC002558.3,0.0605,0.75
AC068234.2,0.0604,5.55
SCRN2,0.0764,-6.69
PNPO,0.0508,4.58
AC004477.1,0.0471,-13.05
SNX11,0.0561,-9.41
TTLL6,0.0567,-10.87
PHB,0.0594,3.81
PPP1R9B,0.0659,4.83
LRRC59,0.047,2.46
MMD,0.0601,-6.25
C17orf67,0.0582,4.31
SUPT4H1,0.0477,-15.7
TEX14,0.0596,-4.26
AC099850.1,0.0492,-13.23
RNFT1,0.0683,-6
AC025048.4,0.0469,-1.79
AC025048.2,0.0571,-9.36
AC011921.1,0.0752,-3.11
AC005884.1,0.0529,-2.87
EFCAB3,0.0527,-31.77
MRC2,0.0599,-17.42
AC015923.1,0.0712,-33.97
CYB561,0.0518,-7
FTSJ3,0.0621,-2.96
AC007448.5,0.0673,14.94
AC110921.1,0.046,-16.61
KPNA2,0.0628,4.24
AC005332.3,0.0469,2.61
ABCA10,0.0542,-4.52
SSTR2,0.0535,2.08
RAB37,0.0474,10.58
FDXR,0.0557,-0.01
HID1,0.0727,-0.68
MRPL58,0.0464,-6.21
JPT1,0.0525,-4.22
MRPS7,0.0738,-4.43
AC011933.4,0.0623,-29.19
LLGL2,0.051,4.12
RNF157-AS1,0.0537,-2.05
SNHG20,0.0743,-2.23
TMC6,0.0623,-27
SYNGR2,0.0505,2.15
AFMID,0.0475,15.58
SOCS3,0.0608,-33.55
CBX4,0.0554,0.92
EIF4A3,0.0476,-9.28
SGSH,0.0541,-1.53
BAIAP2-DT,0.0568,12.71
CEP131,0.0623,-11.01
TEPSIN,0.0557,-2.99
AC110285.2,0.0668,2.79
FAAP100,0.0546,-3.88
OXLD1,0.0479,-0.87
CCDC137,0.0693,-13.23
ARL16,0.0713,-10.03
CENPX,0.0608,-14.01
SLC16A3,0.0612,-43.2
AC132872.1,0.0505,2.43
OGFOD3,0.0748,-0.43
FN3KRP,0.0609,-7.53
AP000919.2,0.0541,-30.52
AP005329.2,0.0691,-36.24
MYL12A,0.0635,-13.64
DLGAP1-AS4,0.056,-20.99
AP001021.3,0.0486,-44.53
CHMP1B,0.0642,17.03
AP001029.2,0.0561,7.16
GREB1L,0.0668,-11.36
DSC2,0.0707,-14.34
AC025887.2,0.0629,-1.85
RIT2,0.066,16.05
HAUS1,0.0712,8.81
AC012254.1,0.0697,-19.49
MYO5B,0.0759,-22.65
CFAP53,0.0626,-6.25
RAB27B,0.0623,1.02
TCF4-AS1,0.0617,-39.75
ST8SIA3,0.0694,16.14
AC104365.1,0.0542,-32.91
DSEL,0.0509,0.75
DIPK1C,0.0763,-21.44
LINC00683,0.0634,-14.51
AC068473.1,0.0549,8.26
RBFADN,0.0491,-2.29
LINC01002,0.0625,26.45
TPGS1,0.0693,0.94
POLRMT,0.0603,1.6
R3HDM4,0.0546,0.52
WDR18,0.0647,-3.41
FAM174C,0.0577,-12.25
GAMT,0.0709,4.94
AC012615.1,0.0539,-7.78
AC005306.1,0.0462,-3.39
TIMM13,0.0547,-14.59
LMNB2,0.0588,0.39
ZNF554,0.0461,6.52
AC119403.1,0.0576,-2.86
TLE2,0.0594,28.02
CACTIN,0.0516,3.1
ZFR2,0.0648,-11.67
SIRT6,0.0638,-2.89
YJU2,0.0544,17.39
FSD1,0.0515,5.54
SEMA6B,0.0546,16.79
FEM1A,0.0635,-2.42
UHRF1,0.0465,26.08
TINCR,0.0615,3.38
AC011444.1,0.0688,-23.83
AC011444.2,0.0642,-41.42
AC011444.3,0.0649,-7.75
ACSBG2,0.0533,-0.92
AC119396.1,0.0468,-35.69
CAMSAP3,0.0663,16.58
XAB2,0.0594,7.88
PET100,0.0659,-20.7
CD320,0.0528,-3.82
ZNF414,0.0534,0.45
MYO1F,0.0529,-31.51
ZNF699,0.0716,-3.08
P2RY11,0.0463,11.41
ICAM1,0.0639,7.15
ZGLP1,0.0598,-7.72
FDX2,0.0624,-16.88
ZNF653,0.0572,4.49
ELOF1,0.0492,0.03
ZNF20,0.0629,-20.26
ZNF563,0.0673,-6.92
ZNF442,0.0572,-14.65
ZNF443,0.0758,-3.72
WDR83,0.0611,-6.77
WDR83OS,0.0681,0.24
GET3,0.048,4.13
DNASE2,0.069,5.04
STX10,0.0692,-6.92
C19orf53,0.0601,-22.36
ZSWIM4,0.0764,18.8
DCAF15,0.0716,-14.52
AC011509.2,0.0544,12.51
DDX39A,0.072,0.33
WIZ,0.0758,1.59
CYP4F3,0.0649,-54.26
CYP4F12,0.0512,-48.26
RAB8A,0.0653,12.61
AC020911.2,0.0591,8.26
BST2,0.0734,-7.13
MAP1S,0.0675,9.61
CCDC124,0.0632,1.03
KCNN1,0.0685,-1.51
LSM4,0.0595,-16.05
DDX49,0.075,-3.74
HOMER3,0.0744,-3.74
BORCS8,0.0632,-0.67
ZNF101,0.0534,-1.13
AC011477.9,0.0705,-33.3
AC008554.1,0.0581,-21.99
ZNF738,0.0735,-11.01
AC011467.1,0.0461,2.38
ZNF728,0.056,12.86
ZNF724,0.0479,0.8
ZNF726,0.052,-5.8
WDR88,0.0465,-38.71
ZNF599,0.0505,-9.25
FXYD3,0.0729,12.64
TMEM147,0.0668,-4.94
U2AF1L4,0.0539,-17.42
LIN37,0.0627,0.58
NFKBID,0.053,-11.24
ALKBH6,0.065,-3.15
THAP8,0.065,2.98
POLR2I,0.0613,-36.62
ZNF829,0.0513,-21.24
AC010632.1,0.0675,-9.63
ZNF570,0.0625,4.61
ZNF571-AS1,0.0609,-2.93
