"pair","zero_order_r","zero_order_p","partial_r","partial_p","change_pct"
"ANLS - neuronal V-ATPase",0.377,0.000407,0.339,0.00169,-10
"ANLS - astrocytic MCT4",0.484,3.02e-06,0.435,3.95e-05,-10.2
