stratum,pair,n,A_r,A_p,C1_r,C1_p,C2_r,C2_p,A_p_nk2,C1_p_nk2,C2_p_nk2
base,"Neuron V-ATPase (6, P2)",84,0.474,5.13e-06,0.232,0.0334,0.281,0.00954,6e-06,0.036,0.0106
base,"Neuron V-ATPase (10, sens.)",84,0.486,2.81e-06,0.226,0.0384,0.277,0.0109,3.2e-06,0.0412,0.0118
base,Neuron LAMP1,84,0.501,1.21e-06,0.31,0.00417,0.33,0.00214,1.41e-06,0.00459,0.00246
base,Neuron LDHB,84,0.418,7.62e-05,0.161,0.143,0.212,0.0533,8.42e-05,0.148,0.0559
strict,"Neuron V-ATPase (6, P2)",83,0.449,2.1e-05,0.19,0.0851,0.249,0.023,2.33e-05,0.0893,0.025
strict,"Neuron V-ATPase (10, sens.)",83,0.46,1.19e-05,0.169,0.127,0.233,0.0341,1.37e-05,0.131,0.0363
strict,Neuron LAMP1,83,0.495,1.92e-06,0.3,0.00578,0.322,0.00297,2.27e-06,0.00651,0.00337
strict,Neuron LDHB,83,0.382,0.000365,0.098,0.378,0.157,0.157,0.000398,0.384,0.162
