control,mean_signal,mean_hk,max_hk,max_hk_gene,gap,hk_ge_weakest,hk_ge_strongest,n_hk_tests
A,0.464,0.331,0.651,PPIA,0.133,9,3,28
C1,0.234,0.182,0.595,PPIA,0.052,15,4,28
