compartment,n_cells,det_all,det_bin,pct_change,n_null,pctl,measurable,reportable
astro,67419,0.0611845325501713,0.0602170440805481,-43.1952363233837,2027,0.00444005920078934,TRUE,FALSE
micro,38905,0.263436576275543,0.258685026541231,-14.4460282998983,2062,0.0431619786614937,TRUE,TRUE
oligo,105681,0.0283873165469668,0.0282342182722259,-20.0601121579481,1819,0.131940626717977,TRUE,FALSE
exc,671689,0.0917016655029336,0.0907871029996005,-36.379954742669,2066,0.0575992255566312,TRUE,FALSE
