definition,pathway,celltype,n_total,n_ok,pct,slope_z,p_z,slope_raw,p_raw,raw_top_member_share,dropped,holm_z,holm_raw,verdict_z,verdict_raw
manuscript definition,"MCT4 / SLC16A3 (single gene, analysed separately)",astro,1,1,-43.1952363233837,-2.21326446432791,3.57459682066476e-07,-0.0746792718026654,3.57459682066477e-07,,"",5.71935491306362e-06,5.71935491306363e-06,declines,declines
manuscript definition,"Lactate export (ANLS composite, manuscript definition)",astro,3,3,-13.1330529193359,-1.00831789236751,0.00353495523161704,-0.0427679584369553,0.0186635429448022,44.638968641126,"",0.0530243284742556,0.242626058282429,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Iron handling,astro,5,5,-18.8302573067227,-0.671716251751197,0.0137075972527529,-0.283907711493788,0.000812483682602043,49.5737081057677,"",0.19190636153854,0.0121872552390306,no decline at the family-adjusted alpha,declines
manuscript definition,Glucose uptake and glycogen,astro,4,4,-14.5750141627277,-0.70488675073165,0.0195105378986184,-0.0520000141584119,0.0303745609460122,46.325762531853,"",0.234499307939273,0.334120170406134,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Ketone body handling,astro,3,3,-13.5440557301646,-0.472171541193187,0.0186846704318899,-0.0153804539094976,0.158051032216479,48.0487889903982,"",0.234499307939273,1,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,"Mitochondrial ETC (astro, 35-gene panel)",astro,35,35,-6.547175398465,-0.586702259383994,0.018038408303021,-0.028402840002833,0.00890933739815672,8.79002533924642,"",0.234499307939273,0.124730723574194,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Water and K+ buffering,astro,4,4,7.8465141346335,0.658470479274071,0.0300195021921004,0.152211075935892,0.0197921750664981,45.5880977907272,"",0.300195021921004,0.242626058282429,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Neuronal identity (control),exc,4,4,1.52283865103804,0.5446640985461,0.0610221853491225,0.0795036614804653,0.0819509740612731,45.2354080144591,"",0.549199668142103,0.819509740612731,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Na/K-ATPase,astro,4,4,-3.3372833544848,-0.404811840031425,0.116677421856628,0.018473651499862,0.773581210574863,62.7963708509999,"",0.933419374853024,1,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Neuronal lysosome,exc,4,4,-1.77807041058301,0.481551270993713,0.140895545672118,0.0282940186361486,0.109029214924107,34.6811730452784,"",0.986268819704824,0.981262934316961,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Glutamate uptake and recycling,astro,4,4,7.50351590016659,0.270663467921827,0.421390154901662,0.039406455236568,0.704469161397954,43.4082307184508,"",1,1,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Fatty acid oxidation,astro,4,4,0.18006786105855,-0.0463059264686951,0.828217607857961,0.000334521959237651,0.987824571643085,40.5742878703964,"",1,1,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Astrocyte reactivity,astro,5,5,-11.4911653298011,-0.16535044683012,0.627295213231911,-0.0641716339827162,0.630320800902864,41.2726683718781,"",1,1,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Neuronal V-ATPase,exc,6,6,-5.67189081261931,0.185742265875297,0.564928499542382,0.021666440025543,0.442492647454506,30.2214904758389,"",1,1,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Neuronal protein synthesis,exc,4,4,-9.57345619599631,0.286661933727815,0.386122047101061,0.0163588707441117,0.407523889128751,43.5137387596139,"",1,1,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
manuscript definition,Integrated stress response,exc,4,4,-5.88113691723935,0.43495044865358,0.218233084923919,0.0144437650187332,0.239751586254123,59.7885780584847,"",1,1,no decline at the family-adjusted alpha,no decline at the family-adjusted alpha
r6 definition,"Lactate export (ANLS hub, r6 definition, for contrast only)",astro,4,4,-26.1137007014179,-1.20054877155792,0.000566193784468147,-0.082311421987912,0.0899360565138202,84.8093629642605,"",0.000566193784468147,0.0899360565138202,declines,no decline at the family-adjusted alpha
