block,gene,celltype,det_bin,pct_change,n_null,pctl,band_median,reportable,in_null_tail,prereg,verdict
REFERENCE,SLC16A3,astro,0.0602170440805481,-43.1952363233837,2027,0.004440059200789344,-4.10755565360631,False,True,,below the house reporting floor - null only
REFERENCE,SLC16A3,exc,0.0907871029996005,-36.379954742669,2066,0.05759922555663117,-7.80208978657021,False,False,,below the house reporting floor - null only
S12-B ambient background,P2RY12,astro,0.134167276201281,-38.3314534672261,2409,0.0091324200913242,-2.02755188270828,True,True,,measurable
S12-B ambient background,P2RY12,exc,0.135144099931399,-33.3179771267689,2208,0.06748188405797101,-7.11242570415588,True,False,,measurable
S12-B ambient background,MOG,astro,0.0205997820602768,-2.93448507999504,1758,0.5796359499431172,-6.4816276460758555,False,False,,below the house reporting floor - null only
S12-B ambient background,MOG,exc,0.0376431387626177,-6.80576238094192,2032,0.5442913385826772,-8.146998577513202,False,False,,below the house reporting floor - null only
S12-B ambient background,C1QA,astro,0.0046125598961054,-41.6893779033281,1886,0.03711558854718982,-6.8965971739787655,False,True,,NOT MEASURABLE (below the null floor)
S12-B ambient background,C1QA,exc,0.0059615080172784,2.54630784715173,1899,0.7535545023696683,-8.64777820682074,False,False,,NOT MEASURABLE (below the null floor)
S12-B ambient background,CX3CR1,astro,0.0053290740547237,50.7218151981682,1915,0.9780678851174934,-7.06534348617454,False,False,,NOT MEASURABLE (below the null floor)
S12-B ambient background,CX3CR1,exc,0.0066264106565348,7.56078266903479,1888,0.84375,-8.35136113480337,False,False,,NOT MEASURABLE (below the null floor)
S12-B ambient background,SNAP25,astro,0.430371243898434,7.59562490906609,2172,0.8752302025782689,1.275319364462315,True,False,,measurable
S12-B ambient background,SNAP25,exc,0.99720771045827,-0.0962859528430116,2722,0.6039676708302718,-0.896059456023002,True,False,,measurable
S12-B ambient background,TMEM119,astro,0.0014628830738457,-21.7522742382454,1765,0.284985835694051,-5.170722555126,False,False,,NOT MEASURABLE (below the null floor)
S12-B ambient background,TMEM119,exc,0.0020670782730624,43.7229515340033,1497,0.991315965263861,-8.49167986689323,False,False,,NOT MEASURABLE (below the null floor)
S12-B ambient background,CSF1R,astro,0.0287650579928647,36.1619497885452,1904,0.9837184873949579,-6.69754994206404,False,False,,below the house reporting floor - null only
S12-B ambient background,CSF1R,exc,0.019154020700937,4.83245634986802,2007,0.8380667663178873,-8.47763111175333,False,False,,NOT MEASURABLE (below the null floor)
S12-B ambient background,PLP1,astro,0.145661357495783,-3.24767085925628,2442,0.43284193284193284,-1.90280627781353,True,False,,measurable
S12-B ambient background,PLP1,exc,0.250763281090983,-6.80583075669261,2493,0.44003208985158443,-5.6714370188953,True,False,,measurable
S12-B ambient background,MBP,astro,0.12412115060232,2.38580232646004,2355,0.710828025477707,-2.31581373073091,True,False,,measurable
S12-B ambient background,MBP,exc,0.801347897867336,-0.992426319931417,4338,0.5532503457814661,-1.44468921208569,True,False,,measurable
S12-C astrocyte internal,ALDOA,astro,0.0384230717559075,-11.0978656647216,1948,0.3526694045174538,-5.87261845642444,False,False,,below the house reporting floor - null only
S12-C astrocyte internal,ALDOA,exc,0.0640899804750812,-19.0099971301943,1958,0.23646578140960164,-7.6281750154229755,False,False,,below the house reporting floor - null only
S12-C astrocyte internal,PKM,astro,0.548133331343016,-9.09171558730663,1951,0.05176832393644285,1.60328792499691,True,False,,measurable
