mediator,control,window
TFRC,NECTIN3,0.15
TFRC,SEC22A,0.15
TFRC,RPN1,0.15
TFRC,MSL2,0.15
TFRC,PCCB,0.15
TFRC,NME9,0.15
TFRC,GK5,0.15
TFRC,PARL,0.15
TFRC,PIGZ,0.15
TFRC,BDH1,0.15
TFRC,PCGF3,0.15
TFRC,EVC2,0.15
TFRC,TBC1D14,0.15
TFRC,SEL1L3,0.15
TFRC,MANBA,0.15
TFRC,GSTCD,0.15
TFRC,PLA2G12A,0.15
TFRC,KLHL2,0.15
TFRC,STOX2,0.15
TFRC,SDHA,0.15
TFRC,RETREG1,0.15
TFRC,CDH12,0.15
TFRC,LMBRD2,0.15
TFRC,NNT-AS1,0.15
TFRC,ERCC8,0.15
TFRC,IPO11,0.15
TFRC,MRPS27,0.15
TFRC,LINC02060,0.15
TFRC,SRP19,0.15
TFRC,AC011416.4,0.15
TFRC,PAIP2,0.15
TFRC,GALNT10,0.15
TFRC,CLINT1,0.15
TFRC,TTC1,0.15
TFRC,AC113414.1,0.15
TFRC,COL23A1,0.15
TFRC,MRNIP,0.15
TFRC,TBC1D9B,0.15
TFRC,SYCP2L,0.15
TFRC,ZSCAN16-AS1,0.15
TFRC,SYNGAP1,0.15
TFRC,OARD1,0.15
TFRC,CASP8AP2,0.15
TFRC,OSTM1,0.15
TFRC,NUS1,0.15
TFRC,SERINC1,0.15
TFRC,ECHDC1,0.15
TFRC,PEX3,0.15
TFRC,TFB1M,0.15
TFRC,C1GALT1,0.15
TFRC,YAE1,0.15
TFRC,CCM2,0.15
TFRC,ZNF138,0.15
TFRC,CALN1,0.15
TFRC,GTF2IRD2B,0.15
TFRC,GSAP,0.15
TFRC,HGF,0.15
TFRC,DYNC1I1,0.15
TFRC,PILRB,0.15
TFRC,MDFIC,0.15
TFRC,AC016831.5,0.15
TFRC,AGK,0.15
TFRC,ATP6V0E2,0.15
TFRC,PTK2B,0.15
TFRC,FNTA,0.15
TFRC,CPNE3,0.15
TFRC,RBM12B,0.15
TFRC,WASHC1,0.15
TFRC,UHRF2,0.15
TFRC,MOB3B,0.15
TFRC,GBA2,0.15
TFRC,C9orf85,0.15
TFRC,KIF27,0.15
TFRC,XPA,0.15
TFRC,PSMD5,0.15
TFRC,SLC25A25,0.15
TFRC,PTPA,0.15
TFRC,GRIN1,0.15
TFRC,EXD3,0.15
TFRC,GDI2,0.15
TFRC,DHTKD1,0.15
TFRC,NUDT5,0.15
TFRC,TRDMT1,0.15
TFRC,CUL2,0.15
TFRC,LINC01515,0.15
TFRC,FAM149B1,0.15
TFRC,RPS24,0.15
TFRC,R3HCC1L,0.15
TFRC,PDCD4,0.15
TFRC,FAM160B1,0.15
TFRC,EIF3A,0.15
TFRC,TIAL1,0.15
TFRC,ACADSB,0.15
TFRC,EEF1AKMT2,0.15
TFRC,AP006621.3,0.15
TFRC,IMMP1L,0.15
TFRC,SDHAF2,0.15
TFRC,RBM4,0.15
TFRC,C11orf80,0.15
TFRC,CLPB,0.15
TFRC,PAK1,0.15
TFRC,BIRC2,0.15
TFRC,NPAT,0.15
TFRC,TTC12,0.15
TFRC,CBL,0.15
TFRC,PARP11,0.15
TFRC,A2ML1,0.15
TFRC,PDZRN4,0.15
TFRC,AC090115.1,0.15
TFRC,ATF1,0.15
TFRC,ATP5MC2,0.15
TFRC,SMARCC2,0.15
TFRC,MARS,0.15
TFRC,XPOT,0.15
TFRC,CEP83,0.15
TFRC,VPS29,0.15
TFRC,MAPKAPK5,0.15
TFRC,PLBD2,0.15
TFRC,FBXW8,0.15
TFRC,ZNF84,0.15
TFRC,SMAD9,0.15
TFRC,COG3,0.15
TFRC,SETDB2,0.15
TFRC,TRIM13,0.15
TFRC,FAM124A,0.15
TFRC,IPO5,0.15
TFRC,AL390755.1,0.15
TFRC,PCID2,0.15
TFRC,AP4S1,0.15
TFRC,TRAPPC6B,0.15
TFRC,FRMD6,0.15
TFRC,ZBTB25,0.15
TFRC,CHURC1,0.15
TFRC,RDH11,0.15
TFRC,ZFYVE1,0.15
TFRC,GALC,0.15
TFRC,DICER1-AS1,0.15
TFRC,EIF5,0.15
TFRC,TYRO3,0.15
TFRC,DTWD1,0.15
TFRC,DNAAF4,0.15
TFRC,TRIP4,0.15
TFRC,DRAIC,0.15
TFRC,FBXO22,0.15
TFRC,WDR73,0.15
TFRC,SYNM,0.15
TFRC,AC009041.2,0.15
TFRC,GNPTG,0.15
TFRC,RNPS1,0.15
TFRC,CLUAP1,0.15
TFRC,ANKS3,0.15
TFRC,MIR193BHG,0.15
TFRC,NPIPB5,0.15
TFRC,ATXN2L,0.15
TFRC,AC009093.2,0.15
TFRC,MT1M,0.15
TFRC,NAE1,0.15
TFRC,AARS,0.15
TFRC,AC004158.1,0.15
TFRC,FBXO31,0.15
TFRC,RAP1GAP2,0.15
TFRC,NCBP3,0.15
TFRC,XAF1,0.15
TFRC,SHISA6,0.15
TFRC,FLCN,0.15
TFRC,FAM106A,0.15
TFRC,PRPSAP2,0.15
TFRC,SUPT6H,0.15
TFRC,AC005562.1,0.15
TFRC,EIF1,0.15
TFRC,VEZF1,0.15
TFRC,RNF43,0.15
TFRC,RGS9,0.15
TFRC,AMZ2,0.15
TFRC,SAP30BP,0.15
TFRC,SLC38A10,0.15
TFRC,P4HB,0.15
TFRC,ATP5F1A,0.15
TFRC,BTBD2,0.15
TFRC,MKNK2,0.15
TFRC,ELAVL1,0.15
TFRC,TMEM38A,0.15
TFRC,COPE,0.15
TFRC,SLC25A42,0.15
TFRC,ZNF714,0.15
TFRC,ZNF431,0.15
TFRC,C19orf12,0.15
TFRC,ZNF585A,0.15
TFRC,ZNF587B,0.15
TFRC,RBCK1,0.15
TFRC,ZNF337,0.15
TFRC,RALY,0.15
TFRC,GGT7,0.15
TFRC,RPN2,0.15
TFRC,PTPN1,0.15
TFRC,RAB22A,0.15
TFRC,PRPF6,0.15
TFRC,BACH1,0.15
TFRC,HPS4,0.15
TFRC,PIK3IP1,0.15
TFRC,SFI1,0.15
TFRC,TEF,0.15
TFRC,CYB5R3,0.15
TFRC,WWC3,0.15
TFRC,AP1S2,0.15
TFRC,ACOT9,0.15
TFRC,PHF8,0.15
TFRC,PLS3,0.15
TFRC,ATP11C,0.15
TFRC,FMR1,0.15
TFRC,CD99L2,0.15
