gene,pct_astro,pct_micro,fold,det_bin_astro,det_bin_micro,pctl_astro,pctl_micro,diverges
AQP4,-5.25548306336306,-5.75785880084522,0.912749555892477,0.914928871042379,0.0326903873443002,0.037037037037037,0.418085106382979,FALSE
PTGDS,-1.57734061398104,-2.30883436375881,0.683176168347179,0.937573703930379,0.124507279129658,0.149789029535865,0.385095939312807,FALSE
HK2,-35.2295472752911,-6.94899337522347,5.06973389856745,0.0545894224597334,0.339701476848689,0.0442433383609854,0.102344196683819,TRUE
SLC16A3,-43.1952363233837,-14.4460282998983,2.99011156746022,0.0602170440805481,0.258685026541231,0.00444005920078934,0.0431619786614937,TRUE
P2RY12,-38.3314534672261,3.42616097146939,-11.18787289518,0.134167276201281,0.688442739265255,0.0091324200913242,0.53874883286648,TRUE
MOG,-2.93448507999504,-0.160278313713713,18.3086845125946,0.0205997820602768,0.0212329847059442,0.580022701475596,0.569004524886878,TRUE
C1QA,-41.6893779033281,-14.8248220510123,2.81213344483157,0.00461255989610545,0.468281915173175,0.0371155885471898,0.0181464679196371,TRUE
CX3CR1,50.7218151981682,-8.14070125675922,-6.23064446150188,0.00532907405472377,0.504782677248121,0.978067885117493,0.0472388556220892,TRUE
SNAP25,7.59562490906609,-4.75016824077934,-1.59902229227568,0.430371243898434,0.313817207126715,0.875230202578269,0.169363538295577,FALSE
TMEM119,-21.7522742382454,10.2525954516209,-2.12163586682888,0.00146288307384574,0.202869606348873,0.284985835694051,0.851538118591173,TRUE
CSF1R,36.1619497885452,4.52044301284618,7.99964731018184,0.0287650579928647,0.866242707731119,0.983718487394958,0.665610142630745,TRUE
PLP1,-3.24767085925628,-17.3859074078946,0.186799042641949,0.145661357495783,0.140326903873443,0.432841932841933,0.0521622826571556,FALSE
MBP,2.38580232646004,10.4458425735002,0.228397308275784,0.12412115060232,0.743653755189993,0.710828025477707,0.914646996838778,FALSE
