block,gene,celltype,det_bin,pct_change,n_null,n_at_or_below,pctl,band_median,reportable,in_null_tail,verdict,ratio_to_MCT4_astro
S12-F channel route,CALHM1,astro,0.00049,13.59,1300,823,0.633077,-5.67,False,False,NOT MEASURABLE (below the null floor),142.58
S12-F channel route,CALHM1,exc,0.03056,-15.74,2117,691,0.326405,-8.31,False,False,below the house reporting floor - null only,73.51
S12-F channel route,BEST1,astro,0.12217,6.11,2344,1957,0.834898,-2.3,True,False,measurable,188.04
S12-F channel route,BEST1,exc,0.02704,-3.12,2066,1350,0.653437,-8.34,False,False,below the house reporting floor - null only,147.17
S12-F channel route,LRRC8A,astro,0.52395,7.38,2003,1723,0.86021,1.62,True,False,measurable,193.74
S12-F channel route,LRRC8A,exc,0.36279,-0.5,2905,2196,0.755938,-4.82,True,False,measurable,170.25
S12-G specificity contrast,CP,astro,0.13261,-44.68,2378,5,0.002103,-2.06,True,True,measurable,0.47
S12-G specificity contrast,CP,exc,0.042,-38.07,1982,103,0.051968,-8.0,False,False,below the house reporting floor - null only,11.7
S12-G specificity contrast,FTH1,astro,0.73596,-19.21,1598,2,0.001252,2.14,True,True,measurable,0.28
S12-G specificity contrast,FTH1,exc,0.77017,-14.63,4072,24,0.005894,-1.77,True,True,measurable,1.33
S12-G specificity contrast,FTL,astro,0.60598,-15.78,1877,24,0.012786,1.8,True,True,measurable,2.88
S12-G specificity contrast,FTL,exc,0.53687,-11.98,3442,228,0.066241,-3.44,True,False,measurable,14.92
S12-G specificity contrast,TFRC,astro,0.30283,-11.48,2555,239,0.093542,-0.01,True,False,measurable,21.07
S12-G specificity contrast,TFRC,exc,0.46461,-7.81,3292,755,0.229344,-4.0,True,False,measurable,51.65
S12-G specificity contrast,SLC40A1,astro,0.03829,-3.0,1951,1146,0.587391,-5.9,False,False,below the house reporting floor - null only,132.29
S12-G specificity contrast,SLC40A1,exc,0.00504,3.02,1850,1388,0.75027,-8.04,False,False,NOT MEASURABLE (below the null floor),168.98
