gene,det_all,det_bin,pct_change,compartment
C1QA,0.00459811032498257,0.00461255989610545,-41.6893779033281,astro
SLC2A1,0.16789035731767,0.16708214536281,-7.43938553297188,astro
SLC16A1,0.0814162179800946,0.0812347927333522,-11.125574633915,astro
HK2,0.0553256500393064,0.0545894224597334,-35.2295472752911,astro
PDK1,0.145092629674127,0.143690943559583,-16.5110380947845,astro
SLC40A1,0.0381346504694522,0.0382887253511666,-2.99561798899096,astro
CX3CR1,0.00531007579465729,0.00532907405472377,50.7218151981682,astro
ATP6V1A,0.442679363384209,0.442835604782732,1.35091597192001,astro
CP,0.13244040997345,0.132614828857608,-44.6845507839688,astro
P2RY12,0.134205491033685,0.134167276201281,-38.3314534672261,astro
TFRC,0.304750886248684,0.302831723664373,-11.4782274231058,astro
SLC1A3,0.990892775033744,0.991461539609798,-0.037546770891872,astro
EGR1,0.0102196710126226,0.00949381260169276,17.643305078744,astro
CSF1R,0.0287307732241653,0.0287650579928647,36.1619497885452,astro
MOG,0.0206469986205669,0.0205997820602768,-2.93448507999504,astro
GJA1,0.840178584671977,0.842411667238883,7.59347906658103,astro
CTSB,0.231640932081461,0.231583347016763,10.379781710387,astro
ATP6V1B2,0.169062133819843,0.168186771357347,-4.961967713261,astro
ARC,0.0106201515893146,0.0105238017047066,8.02776367526941,astro
LRRC8A,0.522523324285439,0.523950978489648,7.37808024590316,astro
PTGDS,0.937287708212818,0.937573703930379,-1.57734061398104,astro
PFKFB3,0.780032335098414,0.779179292740816,-5.19582061587613,astro
CALHM1,0.000504308874352927,0.000492603484050096,13.5888501655673,astro
CTSD,0.396802088432044,0.397829559194519,14.6505025896287,astro
LDHA,0.124297304914045,0.123001597229479,-20.8341985911208,astro
SLC1A2,0.990343968317537,0.990356913615262,5.0869586067932,astro
BEST1,0.122487726011955,0.122165664044424,6.10833713432968,astro
FTH1,0.736765600201724,0.735964532549148,-19.2095981844449,astro
NPAS4,0.00111244604636675,0.000597095132181935,-19.3834723169106,astro
PANX1,0.0298728844984352,0.0298099744741831,0.0302218437109536,astro
SLC2A3,0.0650261795636245,0.0636951232255079,-35.4830134493798,astro
LDHB,0.442293715421469,0.443104297592214,2.87478281359308,astro
SLC16A7,0.0929411590204542,0.0928930751892045,-12.1337793610807,astro
TMEM119,0.00146842878120411,0.00146288307384574,-21.7522742382454,astro
GJB6,0.315474866135659,0.317311280619785,11.6776434213081,astro
LAMP1,0.306367641169403,0.306041109999851,3.59902384500743,astro
FOS,0.168884142452424,0.166156647907928,-49.1857289737934,astro
PKM,0.54816891380768,0.548133331343016,-9.09171558730663,astro
ATP6V0C,0.257746332636201,0.257900314967682,-6.99066044367162,astro
ALDOA,0.0384461353624349,0.0384230717559075,-11.0978656647216,astro
ATP6V0D1,0.163915216778653,0.163962323297159,0.325439853304932,astro
ATP6V0A1,0.548969874961064,0.548148258721321,0.569010196063657,astro
SLC16A3,0.0611845325501713,0.0602170440805481,-43.1952363233837,astro
AQP4,0.914415817499518,0.914928871042379,-5.25548306336306,astro
MBP,0.126121716430086,0.12412115060232,2.38580232646004,astro
JUNB,0.194440736290957,0.192249705184278,-37.1301554442845,astro
FTL,0.606713241074475,0.605976922273141,-15.7832921531029,astro
SNAP25,0.43048695471603,0.430371243898434,7.59562490906609,astro
ATP6V1E1,0.232501223690651,0.232016240987595,-6.19621738017009,astro
SLC16A8,0.00197273765555704,0.00198534131450493,-21.8302065567493,astro
PANX2,0.0625194678058114,0.0626651341224941,-16.4428712209457,astro
PLP1,0.145107462288079,0.145661357495783,-3.24767085925628,astro
LAMP2,0.506088788027114,0.505963487632667,3.58472309413687,astro
C1QA,0.464541832669323,0.468281915173175,-14.8248220510123,micro
SLC2A1,0.0343400591183653,0.0318757555053345,-13.9026349422619,micro
SLC16A1,0.0625883562524097,0.0631471067430494,-7.86122313362352,micro
HK2,0.346407916720216,0.339701476848689,-6.94899337522347,micro
