gene,det_bin,pct_change,n_null,pctl
SLC2A1,0.0318757555053345,-13.9026349422619,1854,0.237324703344121
SLC2A3,0.270326378304515,-35.3378632580528,2020,0.00445544554455446
HK2,0.339701476848689,-6.94899337522347,1749,0.102344196683819
PKM,0.372313028853734,-5.24934282383436,1680,0.141666666666667
LDHA,0.188311347033163,-8.73645290464236,2262,0.133068081343943
SLC16A3,0.258685026541231,-14.4460282998983,2062,0.0431619786614937
SLC16A1,0.0631471067430494,-7.86122313362352,2139,0.286115007012623
