gene,in_var,det_astro,det_exc,pct_astro,pct_exc,ok_astro,ok_exc
NDUFA1,TRUE,0.111970264662417,0.288329526351102,-20.1152411790795,-16.1008811750242,TRUE,TRUE
NDUFA2,TRUE,0.0973115791673508,0.1835146361505,-17.4694283640862,-13.9758491777017,TRUE,TRUE
NDUFA4,TRUE,0.251660670836381,0.541952944191902,-19.4042603767207,-13.9992292418317,TRUE,TRUE
NDUFA8,TRUE,0.114269080921318,0.326022419732984,-8.18643443035478,-10.8363902618873,TRUE,TRUE
NDUFA9,TRUE,0.264184741233897,0.548615540026083,-0.976082250096699,-4.04685613790528,TRUE,TRUE
NDUFA10,TRUE,0.478721022226866,0.902188449389752,-0.578527801598527,-5.49280814224894,TRUE,TRUE
NDUFA13,TRUE,0.259721455120837,0.453698803627564,-13.5939898913766,-13.1166345724902,TRUE,TRUE
NDUFB1,TRUE,0.203922915018435,0.45235995205464,-3.44416263382439,-9.31699063717544,TRUE,TRUE
NDUFB2,TRUE,0.181098953590781,0.388538344980437,-28.0087543902973,-16.2617718891098,TRUE,TRUE
NDUFB4,TRUE,0.255795554626741,0.378836194223941,-15.0100248254908,-14.6213509834047,TRUE,TRUE
NDUFB6,TRUE,0.208759385589109,0.511634288471252,2.04062105629097,-5.15580123901668,TRUE,TRUE
NDUFB8,TRUE,0.248839396336821,0.594774257261536,-9.68196604508828,-18.0389359326215,TRUE,TRUE
NDUFB9,TRUE,0.099356629995074,0.258710450731619,-7.06633077657656,-13.9996568695587,TRUE,TRUE
NDUFB10,TRUE,0.0854592407935394,0.174718622550904,-25.3995698961945,-20.2989821559966,TRUE,TRUE
NDUFS1,TRUE,0.603931871445418,0.899093108985232,4.51922891992653,-2.46671425440581,TRUE,TRUE
NDUFS2,TRUE,0.27649982833515,0.482574575389556,-2.20435520547877,-7.5284987010641,TRUE,TRUE
NDUFS3,TRUE,0.110089414996044,0.250953253273628,-8.48056041183954,-9.8227021768623,TRUE,TRUE
NDUFS4,TRUE,0.442984878565778,0.73734234947343,2.67308196194533,-0.91426611915576,TRUE,TRUE
NDUFS7,TRUE,0.175859443805884,0.36283933027267,2.98344900377898,-5.53906322162273,TRUE,TRUE
NDUFS8,TRUE,0.166708960905196,0.344080331094375,5.85076127255104,-2.88755343742776,TRUE,TRUE
NDUFV1,TRUE,0.337358749682793,0.540011006324868,-7.23038148430109,-11.6390741233982,TRUE,TRUE
NDUFV2,TRUE,0.283470914003374,0.615123896540546,2.17905712291884,-2.41694036901103,TRUE,TRUE
SDHA,TRUE,0.311265692406443,0.634983528205592,-0.967031560275944,-6.89045570493111,TRUE,TRUE
SDHB,TRUE,0.320042990849517,0.573262169150628,8.49051977501203,-1.79811404516659,TRUE,TRUE
UQCRC1,TRUE,0.174739890433043,0.379565928639814,7.12545449788702,-7.37493849347238,TRUE,TRUE
UQCRC2,TRUE,0.557358451135227,0.78249994346066,0.608324872231547,-3.23772839581551,TRUE,TRUE
CYC1,TRUE,0.0906390410652177,0.157441707940385,-9.46854627850694,-8.31932300172235,TRUE,TRUE
COX4I1,TRUE,0.200370198981953,0.423466087703824,-14.9891092878737,-13.3091472937122,TRUE,TRUE
COX5A,TRUE,0.139078383663477,0.35604556316952,-9.75902193280386,-6.9037606331391,TRUE,TRUE
COX6C,TRUE,0.21896971234942,0.585544021530181,-14.7214171918653,-10.7330666345453,TRUE,TRUE
COX7C,TRUE,0.268588317833739,0.433368764653112,-19.7820025789026,-18.6540329100249,TRUE,TRUE
ATP5F1A,TRUE,0.312131480348106,0.635030267393386,3.33415810542235,-4.76869287907682,TRUE,TRUE
ATP5F1B,TRUE,0.220044483587348,0.563264506110018,1.39773435892172,-5.86448245640703,TRUE,TRUE
ATP5MC1,TRUE,0.0764132495409831,0.264367400170372,-15.7040901040189,-20.0575606450313,TRUE,TRUE
ATP5PB,TRUE,0.196086041408547,0.417070357554787,1.8877590034901,-6.13446893071978,TRUE,TRUE
PPARGC1A,TRUE,0.534041886223523,0.68152671295354,10.0856347418263,3.28913502590973,TRUE,TRUE
PPARGC1B,TRUE,0.0298249018524876,0.718005895168525,1.40071265730226,-5.32376199824916,TRUE,TRUE
PPRC1,TRUE,0.0769207804033378,0.183101522039035,-1.15392021920053,-12.1041566003064,TRUE,TRUE
TFAM,TRUE,0.0871012524070398,0.298729749493031,1.59542230275387,-0.91419260701473,TRUE,TRUE
NRF1,TRUE,0.772850084339687,0.902915168374155,8.08574092774959,0.577900916714791,TRUE,TRUE
NFE2L2,TRUE,0.681434819602633,0.472783469404679,2.74395679973194,-4.1719634944601,TRUE,TRUE
ESRRA,TRUE,0.245047842247466,0.31633534613384,2.57666650257582,-9.47027050175003,TRUE,TRUE
MFN1,TRUE,0.370766222328373,0.683510866861162,0.00755518522570498,-4.81231132226163,TRUE,TRUE
MFN2,TRUE,0.184353122061172,0.479426464934301,-3.2823666598397,-6.86505847483231,TRUE,TRUE
OPA1,TRUE,0.568464420593811,0.906901568778223,1.30350748862491,-0.297542801451522,TRUE,TRUE
DNM1L,TRUE,0.585660760400651,0.895067507972047,-5.08315799057755,-6.20839152746303,TRUE,TRUE
FIS1,TRUE,0.0981624397307101,0.310096418421271,-10.4401195526124,-12.1765816291762,TRUE,TRUE
