subset,n,V1A_KW_p,V1A_median,rho_V1A_TMT,p_V1A_TMT,rho_HK1_TMT,p_HK1_TMT,rho_V1A_imm,p_V1A_imm,rho_HK1_imm,p_HK1_imm,n_imm
whole cohort,1106,0.770339623403228,2649.5926585,0.247979944891423,5.82614461533174e-17,0.521277368223594,0,0.0336085239245048,0.264966038313376,0.177351306661129,3.0703564859336e-09,1102
CDR >= 1,88,0.76646706920004,2449.931943,0.170199322739583,0.112881590860286,0.437867634109401,2.41276106008028e-05,0.157447677913368,0.145272653530938,0.185146033634151,0.0860108964580677,87
CDR > 1,1,,32731.50387,,,,,,,,,1
DX == DEM,164,,2582.4874285,0.272149468467097,0.000422946891574658,0.483957939412077,6.50443341755325e-11,0.0580100277329341,0.462009223336205,0.140766721417822,0.0730859912334145,163
