"gene","detect","detect_all","pct"
"MIR1302-2HG",7.46368915227419e-05,7.41630697577834e-05,2.56161331763465
"OR4F5",1.49273783045484e-05,1.48326139515567e-05,-100
"AL627309.1",0.0173456135898852,0.0173244930954182,4.57411351275718
"AL627309.3",0.00073144153692287,0.000741630697577834,-40.1735151234613
"AL627309.2",2.98547566090967e-05,2.96652279031134e-05,-100
"AL627309.5",0.036422803063098,0.0364437324789748,-0.363946894599576
"AL627309.4",0.000208983296263677,0.000207656595321794,-0.820427559923453
"AP006222.2",0.000223910674568226,0.000237321823224907,30.1778101773171
"AC114498.1",0.000835933185054709,0.000860291609190288,12.525141892312
"AL669831.2",0.00144795569554119,0.00151292662305878,-42.3482858548979
"LINC01409",0.18129300950874,0.181595692608908,-3.34667238274221
"FAM87B",0.00108969861623203,0.00140909832539788,-42.253597697104
"LINC01128",0.0838321565583437,0.0857918390958039,-10.2013628653324
"LINC00115",0.0210625307877178,0.0211809727228229,-30.3574075557194
"FAM41C",0.0123001597229479,0.0122962369658405,61.418556470192
"AL645608.6",0.00953859473660641,0.0095522033848025,-11.9293374820998
"AL645608.2",0.00531414667641922,0.00531007579465729,-13.5163233189798
"LINC02593",0.0108820587840158,0.0108871386404426,-43.2143669785104
"SAMD11",0.0657700288098401,0.0657233124193477,-41.2484014283848
"NOC2L",0.103207893597647,0.103516812767914,-6.23063157955579
"KLHL17",0.0429609947604902,0.0430739109153206,16.6259963645427
"PLEKHN1",0.00082100580675016,0.000815793767335618,28.7139213369853
"PERM1",0.00298547566090967,0.00296652279031134,21.1099408981464
"AL645608.7",0.00576196802555567,0.00600720865038046,-34.4279330734425
"HES4",0.0842351957725665,0.0862516501283021,-29.3619713326028
"ISG15",0.027630577241719,0.027870481614975,-16.2811814932496
"AL645608.1",0.00246301742025048,0.00246221391595841,27.0630075917401
"AGRN",0.101237479661447,0.101217757605423,0.369607494251389
"RNF223",0.000238838052872774,0.000237321823224907,140.877637576641
"C1orf159",0.276410264065322,0.276376095759356,-1.70393746210876
"AL390719.3",0.0217939723246406,0.0219077708064492,-25.2851261143259
"LINC01342",0.000776223671836515,0.000771295925480947,0.595649922278585
"AL390719.2",0.000223910674568226,0.00022248920927335,231.46864807951
"TTLL10-AS1",7.46368915227419e-05,7.41630697577834e-05,58.8291375703744
"TTLL10",0.00186592228806855,0.0018837419718477,-1.27790005744486
"TNFRSF18",0.00152259258706393,0.00151292662305878,-13.5979983302589
"TNFRSF4",0.00198534131450493,0.00197273765555704,-17.2833329735421
"SDF4",0.1647534743473,0.164582684406473,2.46269856771757
"B3GALT6",0.0209580391395859,0.0209139856716949,3.98256680871407
"C1QTNF12",0.00847875087698348,0.00857325086399976,-8.0365058000594
"AL162741.1",0.000985206968100193,0.000978952520802741,51.9289590971781
"UBE2J2",0.236285471182696,0.236476364229668,1.71170552846123
"LINC01786",0.0388410383484349,0.0388614485530785,-0.987398779041793
"SCNN1D",0.0912062814407906,0.0911464127323158,10.9855157902313
"ACAP3",0.312683793345375,0.311840875717528,2.35872534861108
"PUSL1",0.0138973892015345,0.0138981592726086,6.77620706329236
"INTS11",0.237390097177233,0.237321823224907,6.97713679850136
"AL139287.1",0.0013583914257139,0.00136460048354321,-9.58345672753114
"CPTP",0.0339150035079339,0.0338035271955977,14.6211839286523
"TAS1R3",0.00117926288605932,0.00117177650217298,-12.4470293664477
"DVL1",0.117806869579496,0.117815452617215,-2.71566118710068
"MXRA8",0.0677404427460405,0.0679333718981296,-3.73804182534601
"AURKAIP1",0.0654714812437492,0.0657233124193477,-24.1542246342922
"CCNL2",0.519218999567106,0.519111823076581,-4.42025050315879
"MRPL20-AS1",0.0147333223865892,0.0146991204259927,-6.19770703715142
"MRPL20",0.191831738591751,0.192260342040078,-13.2462015520207
"AL391244.2",0.0186144407457718,0.0186149305092036,19.1265842370796
"ANKRD65",0.0513800361242555,0.051424672570047,-2.36069545348401
"AL391244.1",0.000701586780313773,0.000697132855723164,25.462737991054
"TMEM88B",0.00017912853965458,0.00017799136741868,171.111609082172
"LINC01770",0.00249287217685958,0.00249187914386152,32.4474988530373
"VWA1",0.0879670403487036,0.0878980702769249,11.4446344963377
"ATAD3C",0.0443790956994223,0.0445275070825732,-2.62806639728634
"ATAD3B",0.159081070591572,0.159450599979234,-3.44574917917471
"ATAD3A",0.0929527847024227,0.0928966611785995,12.5082231525626
"TMEM240",0.0794285799585019,0.0793099867989736,12.2553128718516
"SSU72",0.173157588332761,0.173200433112327,-0.726052114241527
"AL645728.1",0.0281828902389873,0.0281967991219093,-13.7872152013509
"FNDC10",0.0196295024704811,0.0195197199602486,22.6765685805347
"AL691432.4",0.00383633622426893,0.00382681439950162,-48.4641199296895
"AL691432.2",0.0295114269080921,0.0294575713077916,11.53943078863
"MIB2",0.199997014524339,0.199721146857711,1.30763905787294
"MMP23B",0.0111208968368885,0.0110947952357644,4.78598080631158
"CDK11B",0.120210177486528,0.120574318812204,-1.05578091522258
"FO704657.1",0.00813542117597886,0.00815793767335618,-12.0201062310236
"SLC35E2B",0.266602976519234,0.265919102923508,10.4943107355101
"CDK11A",0.164156379215118,0.163944882006556,1.81828729000739
